col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
C,M,2,0,-,118.1524708,-26.3783306,243.1424735,0.441518,M,H,P
C,M,2,0,-,118.2541958,-27.1160417,243.8222611,0.1408998,T,,P
C,M,2,0,-,118.970225,-28.6296611,245.4453898,-0.0980487,T,,P
C,M,2,0,-,123.3973375,-34.4788694,252.4034104,-0.0429939,T,,
C,M,2,0,-,123.8215917,-35.7374583,253.6433068,-0.4518738,T,A,
C,M,3,1,-,253.5279542,-41.8520028,343.4369485,1.1749924,T,N,S
C,M,3,1,-,253.5550917,-41.8423667,343.4571785,1.165378,T,N,S
C,M,3,1,-,251.6501208,-47.0865361,338.5563675,-1.1432762,T,H,A
C,M,2,0,-,134.4652542,-47.7622056,267.9953722,-1.3788185,T,R,V
C,M,2,0,-,134.4775833,-47.7376972,267.9821932,-1.3565522,T,R,V
C,M,2,0,-,138.9699458,-50.0121722,271.6530134,-0.7049579,T,B,
C,M,3,1,-,238.9150292,-54.6435194,327.5575709,-0.8304938,T,R,N
C,M,2,1,-,160.9445625,-59.5485611,287.3900366,-0.5853307,T,T,C
C,M,2,1,-,160.9996542,-59.5403778,287.4108356,-0.5649793,T,T,C
C,M,2,1,-,161.0038625,-59.5960556,287.4388746,-0.6131297,T,T,C
C,M,2,1,-,161.0101875,-59.4935472,287.3935545,-0.5211268,T,T,C
C,M,2,1,-,160.9895333,-60.0911528,287.665173,-1.0535535,T,C,C
C,M,2,1,-,161.0018042,-60.0999889,287.6747269,-1.0584786,T,C,C
C,M,2,1,-,161.1528667,-59.7915639,287.5969513,-0.7505793,M,T,C
C,M,2,1,-,161.1741458,-59.7823389,287.6021026,-0.7374176,T,T,C
C,M,2,1,-,161.227975,-59.9338639,287.6967973,-0.8587646,M,C,C
C,M,2,1,-,161.2742833,-59.7187694,287.6170381,-0.6576503,T,T,C
C,M,2,1,-,161.2741417,-59.7554444,287.6340732,-0.6901296,M,T,C
C,M,2,1,-,161.2780042,-59.69905,287.6095058,-0.6393295,T,T,C
C,M,2,1,-,161.2842708,-59.7686,287.644719,-0.699391,M,T,C
