source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,l,b,ruwe,distance_bj,distance_bj_low,distance_bj_high,Name,Mx,Mx_err,Mo,Mo_err,RV,RV_err,Period,Period_err,Spin_period,Spin_period_err,distance_para,pm_l_poleski,pm_b_poleski,galactic distance,circular velocity,LSR velocity,mu_l_sol,mu_b_sol,RV_r_sol,mu_l_rot,mu_b_rot,RV_rot,Peculiar Velocity,Peculiar Radial Velocity,peculiar_mu_l,peculiar_mu_b,Peculiar Velocity 3D,dist_err,SpType,Mod_SpType,SpColor
511220031584305536,26.750875487648646,0.011500537395477295,61.356572911514526,0.013774354942142963,-1.029427556881088,0.01621834933757782,-0.08166309914192828,0.016919506713747978,0.32796283875254345,0.02165328525006771,,,11.215371131896973,129.54110404226162,-0.8001119868579849,1.351809024810791,2.7401304,2.5974229,2.877874,RX J0146.9+6121,,,9.6,,,,330.0,,1407.4,3.0,3.0491259430600497,-0.9855121261320304,-0.30847334710531277,10.117369848940804,241.52516398767023,148.36807050331797,1.3078626323705722,-0.5889723333446671,-3.5057845056108183,-2.6715121500591055,-0.03804905537456457,-43.92857274633573,6.421760953624458,,0.37813739155650294,0.3185480416139189,,0.2013142527354372,B1III-Ve,xkcd:green,xkcd:green
518990967445248256,29.577032913394262,0.008842416107654572,67.22318460660581,0.010229337960481644,-1.1979575137021086,0.010899312794208527,0.3002206665717444,0.013282542116940022,0.1332721013963377,0.013151251710951328,,,13.687518119812012,129.3522357669255,5.1887233924182254,1.092895269393921,5.6482246,5.216058,6.2012065000000005,IGR J01583+6713,,,12.5,,,,,,469.2,,7.503445878939821,-1.2346680901134437,-0.02879862024023381,12.498104217451575,243.53048134902082,120.64227873191246,0.6340368597467319,-0.2703180870907844,-4.340525578154056,-2.0311456028284396,0.2144610994896091,-96.96119424112405,4.408878228188892,,0.16244065296826404,0.027058367360941527,,0.7404378292195948,B2IVe,xkcd:dark purple,xkcd:green
519352324516039680,23.95771733364349,0.0074431453831493855,66.21202346679833,0.008329693228006363,-1.6256635994947488,0.008630420081317425,-0.02743521083805346,0.011114322580397129,0.1668629279602417,0.01096498966217041,,,12.461552619934082,127.39442158128841,3.7256576059257593,1.0535520315170288,5.563626500000001,5.248088399999999,5.9916035,IGR J01363+6610,,,12.5,,,,159.0,2.0,,,5.9929429036404605,-1.5939762607956323,-0.32058463708656854,12.337078133540114,243.40694447131082,125.77717053988418,0.6385499035475829,-0.27711774582794346,-4.730887622433924,-2.1873251476018836,0.15679355650174195,-96.12275557895667,5.41404167184289,,-0.04520101674133148,-0.20026044776036703,,0.39381160205970045,B1Ve,xkcd:light purple,xkcd:green
524677469790488960,19.63319348306226,0.01089562103152275,63.74252240557648,0.012050527147948742,-1.6837604152272512,0.013374864123761654,0.5035569322350394,0.016997672617435455,0.13630637395963652,0.01634519174695015,,,14.304468154907227,125.92351442320867,1.0282648921450845,1.0173410177230835,5.6585684,5.234406699999999,6.1456973,4U 0115+634,,,17.5,,,,24.3174,0.0004,3.614316,5e-06,7.33641407184761,-1.730226018688214,0.3081179062348416,12.350602674028679,243.41737970903503,128.3175283020498,0.6235655487940277,-0.280178754985223,-4.812514980918908,-2.2752406365679985,0.043489846521853566,-98.48596015220566,14.763702010139248,,-0.07855093091424337,0.544806814698211,,0.8797467884728718,B0.2Ve,xkcd:purple,xkcd:green
524924310153249920,19.511227046863358,0.007461200468242168,65.29162260285469,0.008893749676644802,-1.2433985583085483,0.009154735133051872,0.7606173957665759,0.011805354617536068,0.1964171573898191,0.011268352158367634,,,10.520528793334961,125.70997540875491,2.563488419804798,0.944641649723053,4.5270576,4.3225546999999995,4.8506323,2S 0114+650,,,16.0,2.0,-31.0,5.0,11.5983,0.0006,10008.0,36.0,5.091204929798221,-1.3209841517227512,0.6161003720529863,11.397508308296436,242.65367986781396,139.00787288065314,0.7786042931208563,-0.34394356243495516,-5.0743600444446795,-2.5374927243580867,0.1138067905909506,-76.28096804664884,20.445982245459895,50.35532809109352,0.4379042795144792,0.8462371438969909,54.347927809101726,0.29207983061034437,B1Iae,xkcd:bright green,xkcd:green
1978365123143522176,323.5848682806499,0.011234178207814693,47.63337917570627,0.011219699867069721,-2.2116582562207454,0.014625879004597664,-2.55791755533225,0.01455289963632822,0.08351192645368731,0.014160461723804474,,,14.003633499145508,92.17160730696891,-3.1176825605720886,1.0569863319396973,8.518012,7.761804,9.59976,IGR J21347+4737,,,12.5,,,,,,322.7,0.6,11.97433758823135,-3.3543140337077446,-0.4277286820609328,12.000740460416198,243.143835438971,162.62015047222937,0.28006136847556323,-0.20571017463872476,-12.748142588691795,-4.077654449991409,-0.10193293494925323,-111.26110432625148,18.54266860874744,,0.44327904780810146,-0.12008557247295479,,2.030394415342535,B1--1.5III--V,xkcd:black,xkcd:red
1979911002134040960,330.4091919702234,0.0112070357427001,50.16795238313883,0.011057302355766296,2.364625293266044,0.014718983322381973,-0.2937024864956449,0.013353955931961536,0.8781947661310571,0.013396814465522766,,,9.304606437683105,97.24776932144769,-4.041208697923339,0.9346024990081787,1.1175298,1.0990605,1.1369066,1H 2202+501,,,,,-16.8,2.5,,,,,1.1386995670739004,1.7284177853776819,-1.6402090986570457,8.364063595591775,239.7334877327552,229.03096908572496,2.346474064359324,-1.5925472121470545,-11.563043701438762,-5.808519172183838,-0.07971582138101052,-6.133834230407068,27.49487986135238,0.8968779318458289,5.190462893202197,0.032053934871019374,27.509503968898326,0.017370801353402254,B3e,xkcd:green,xkcd:green
1982359580155628160,340.73874140526055,0.013241217471659184,44.72172459979292,0.014299740083515644,-3.4776109132211244,0.015737077221274376,-3.1589986974648205,0.016737615689635277,0.485993229298655,0.018474221229553223,,,8.70506763458252,100.17544003164187,-12.398496666587082,1.138658881187439,1.9588258,1.9000535,2.0270062,MWC 656,5.4,1.6,7.8,2.0,-14.1,2.1,60.37,0.04,,,2.05764183472909,-4.560814871598569,-1.127837816950831,8.694348952362466,240.0970146378794,214.29458223587818,1.4036595262701708,-1.0648783005453872,-9.578644899290467,-5.438742804287912,-0.33631382060475334,-15.152979266511425,5.501734683381816,10.631624165801892,-0.5257315935808275,0.2733543041993096,11.970819392555766,0.07821781904415968,B1.5-B2III,xkcd:red,xkcd:red
2005653524280214400,331.98428755192987,0.01205048244446516,54.518432170802825,0.011263555847108364,-4.172517978480273,0.015193975530564785,-3.316562372366748,0.013615788891911507,0.3050532500378427,0.013605252839624882,,,9.743356704711914,100.60324189142595,-1.1059224650682717,0.9785323143005371,3.1674092000000003,3.0472979000000002,3.3326724,4U 2206+543,,,18.0,,-54.5,1.0,9.558,0.04,392.0,,3.2781161973391435,-5.3203649202928,-0.3212621444519147,9.27089679752768,240.70091275872343,205.83747960495762,0.8737514207648808,-0.5207464477558823,-11.231698001733578,-5.020690478432538,-0.03605527428408416,-31.89770741260445,17.96866265304317,-11.370594585661971,-1.1734258626251428,0.23553957758805177,21.264130802136112,0.14620267017950472,O9.5IIIe,xkcd:bright blue,xkcd:blue
2021785421455305344,295.5465223645784,0.03207533434033394,25.934890350462474,0.04769733175635338,-1.953244017446547,0.0427125059068203,-3.987108346450195,0.05859220772981644,0.019283663596520964,0.060263168066740036,,,17.05453872680664,61.58010557440001,1.3548851543347347,1.0167852640151978,8.438992,6.744408999999999,10.507007999999999,1RXS J194211.9+255552,,,,,,,166.5,0.5,,,51.85736595096036,-4.428399138706507,-0.3185533335675472,8.494162928397346,239.87829956529336,200.47692261738592,0.07564288681034087,-0.17983434537961984,-17.27593458522321,-5.975360327869705,0.004971112547385687,-8.762432339545676,59.13393912122021,,1.4713183023528567,-0.14369010073531308,,162.0588921891883,,xkcd:black,xkcd:grey
2026914849346539008,297.48094936995193,0.0128928292542696,25.566594846422447,0.019209254533052444,-2.3838963550775913,0.01785130985081196,-5.145184250598648,0.027028784155845642,0.11141137992886387,0.026741143316030502,,,13.963172912597656,62.13626690776949,-0.3368577763444705,0.9918761253356934,5.6107773,4.7615747,6.645741,IGR J19498+2534,,,,,,,,,,,8.975743776250683,-5.637517262640846,-0.6117858430750652,7.4269311962337765,238.62153583702874,229.5925163154751,0.1200082454428776,-0.28953592116532184,-17.025860471573704,-6.3000652198197304,0.004490398092636957,18.510112593604376,16.84350021706526,,0.5425397117360067,-0.32674032000238035,,2.1543728373344093,early BIa,xkcd:red,xkcd:grey
2028089540103670144,296.4139748795565,0.01702195405960083,27.365399152475934,0.022254357114434242,-2.4130254444730657,0.023112494498491287,-4.043007630284439,0.028101064264774323,0.02069077540146113,0.029170023277401924,,,15.688565254211426,63.207143530473964,1.3955652936534102,1.0054941177368164,12.164791,10.002854,14.738491,XTE J1946+274,,,15.0,0.0,,,172.7,0.6,15.78801,4e-05,48.330716495495984,-4.708307340567436,0.021082717363817907,11.178671516200723,242.46968196233783,155.83572976095996,0.06087487571364859,-0.12458161585932383,-17.18825854449588,-4.953932216260752,0.024107540351863795,-78.26274146350757,12.751923008786106,,0.184749999979668,0.12155679287127794,,68.13703681146595,B01-IVVe,xkcd:purple,xkcd:green
2031939548802102656,297.39783883472126,0.008815532550215721,30.20880848740128,0.011791565455496311,-2.26403288923693,0.011820588260889053,-4.08907537104113,0.014689060859382153,0.027654384165323034,0.01372900977730751,,,13.834043502807617,66.09896538287826,2.083585457599563,1.0205581188201904,13.692617,11.93849,16.453439999999997,KS 1947+300,,,17.5,,,,40.415,0.007,18.7,,36.16063167495666,-4.671153313150496,-0.16342900184735476,12.778697774193052,243.74213997722492,140.06787756453457,0.06723438504633676,-0.10760405914301759,-17.07466449539618,-4.430239822651437,0.04378000014029257,-122.45862063713479,21.01858103923414,,-0.30814787554539613,-0.09960494284462974,,17.951933510839638,B0Ve,xkcd:purple,xkcd:green
